OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,City,Region,Category,SubCategory,Sales,Quantity,Discount,Profit
IN-2025-10001,2025-02-21,2025-02-22,First Class,CUST-116,Ayaan Patel,Home Office,Mumbai,Central,Technology,Monitors,32807.8,4,0.05,4161.78
IN-2025-10002,2025-10-17,2025-10-18,Second Class,CUST-135,Aadhya Gupta,Corporate,Lucknow,East,Technology,Phones,51176.27,3,0.05,10146.09
IN-2025-10003,2025-06-25,2025-06-26,Standard Class,CUST-125,Vihaan Kumar,Corporate,Lucknow,East,Technology,Printers,42535.97,7,0.0,14624.57
IN-2025-10004,2025-05-18,2025-05-23,First Class,CUST-137,Reyansh Iyer,Consumer,New Delhi,South,Furniture,Chairs,27333.15,7,0.1,5738.46
IN-2025-10005,2025-11-15,2025-11-18,Second Class,CUST-124,Saanvi Gupta,Home Office,Pune,North,Office Supplies,Envelopes,868.25,3,0.15,331.92
IN-2025-10006,2025-05-13,2025-05-18,Second Class,CUST-121,Vivaan Gupta,Consumer,Chennai,West,Furniture,Chairs,9263.88,6,0.05,2157.31
IN-2025-10007,2025-08-21,2025-08-25,Same Day,CUST-110,Krishna Patel,Consumer,Jaipur,Central,Furniture,Furnishings,30143.81,4,0.05,2104.65
IN-2025-10008,2025-08-17,2025-08-18,Standard Class,CUST-108,Arjun Nair,Consumer,Kolkata,Central,Technology,Printers,25370.68,5,0.2,8857.11
IN-2025-10009,2025-01-28,2025-01-29,First Class,CUST-122,Vihaan Singh,Corporate,Bengaluru,West,Technology,Accessories,54774.13,2,0.25,16172.13
IN-2025-10010,2025-11-10,2025-11-15,Second Class,CUST-110,Saanvi Chauhan,Consumer,Jaipur,Central,Technology,Monitors,24921.83,6,0.1,3102.26
IN-2025-10011,2025-01-08,2025-01-10,Standard Class,CUST-106,Kavya Mehta,Consumer,Jaipur,South,Technology,Printers,67715.44,7,0.05,10697.63
IN-2025-10012,2025-12-18,2025-12-20,First Class,CUST-126,Saanvi Joshi,Home Office,Ahmedabad,North,Technology,Phones,7585.45,4,0.2,946.95
IN-2025-10013,2025-01-08,2025-01-09,Standard Class,CUST-115,Aditya Sharma,Corporate,Mumbai,Central,Technology,Accessories,38871.33,3,0.25,6579.92
IN-2025-10014,2025-10-19,2025-10-23,Second Class,CUST-131,Aadhya Gupta,Consumer,Mumbai,West,Furniture,Furnishings,12116.45,1,0.25,2534.17
IN-2025-10015,2025-11-21,2025-11-22,Standard Class,CUST-126,Diya Chauhan,Consumer,Hyderabad,South,Technology,Monitors,30942.51,5,0.15,6715.54
IN-2025-10016,2025-02-08,2025-02-12,Standard Class,CUST-104,Pooja Mehta,Consumer,Mumbai,South,Technology,Printers,38994.88,7,0.0,6596.45
IN-2025-10017,2025-07-06,2025-07-07,Same Day,CUST-117,Pari Singh,Corporate,Jaipur,West,Technology,Phones,19327.16,1,0.25,6625.41
IN-2025-10018,2025-01-11,2025-01-12,Same Day,CUST-133,Sneha Patel,Consumer,Jaipur,North,Technology,Laptops,39654.59,4,0.15,10916.86
IN-2025-10019,2025-10-04,2025-10-06,Standard Class,CUST-140,Aditya Mishra,Home Office,Lucknow,Central,Office Supplies,Paper,4452.26,6,0.05,1117.81
IN-2025-10020,2025-07-09,2025-07-11,First Class,CUST-130,Diya Chauhan,Consumer,New Delhi,West,Office Supplies,Fasteners,3985.01,4,0.2,869.99
IN-2025-10021,2025-03-09,2025-03-12,Standard Class,CUST-116,Saanvi Singh,Consumer,Ahmedabad,Central,Office Supplies,Paper,2352.04,1,0.25,1050.91
IN-2025-10022,2025-09-27,2025-09-30,Standard Class,CUST-109,Krishna Verma,Consumer,Jaipur,South,Furniture,Bookcases,16765.91,4,0.25,2771.13
IN-2025-10023,2025-05-21,2025-05-26,Same Day,CUST-117,Vivaan Verma,Home Office,Kolkata,East,Technology,Laptops,26931.51,5,0.05,4042.11
IN-2025-10024,2025-08-24,2025-08-29,Same Day,CUST-136,Aarav Verma,Consumer,Bengaluru,Central,Technology,Accessories,45775.67,3,0.0,7052.27
IN-2025-10025,2025-06-10,2025-06-11,First Class,CUST-114,Ayaan Nair,Consumer,Chennai,Central,Furniture,Tables,30993.22,3,0.05,651.51
IN-2025-10026,2025-01-14,2025-01-16,First Class,CUST-127,Ayaan Singh,Consumer,Mumbai,West,Technology,Printers,18513.32,8,0.1,5698.68
IN-2025-10027,2025-04-10,2025-04-12,Standard Class,CUST-113,Ananya Kumar,Corporate,Mumbai,East,Furniture,Furnishings,24744.58,6,0.0,5025.58
IN-2025-10028,2025-05-04,2025-05-06,First Class,CUST-103,Vihaan Reddy,Corporate,Chennai,East,Furniture,Chairs,15326.25,5,0.0,1884.77
IN-2025-10029,2025-07-23,2025-07-24,Second Class,CUST-124,Aadhya Verma,Home Office,Chennai,Central,Furniture,Chairs,19524.1,5,0.25,782.85
IN-2025-10030,2025-06-14,2025-06-18,First Class,CUST-136,Arjun Gupta,Corporate,Kolkata,South,Office Supplies,Fasteners,1480.1,1,0.1,498.77
IN-2025-10031,2025-04-10,2025-04-14,First Class,CUST-130,Pari Joshi,Home Office,Hyderabad,Central,Furniture,Tables,24083.22,6,0.0,846.19
IN-2025-10032,2025-04-27,2025-04-30,Second Class,CUST-113,Arjun Sharma,Consumer,Hyderabad,West,Office Supplies,Storage,1789.5,4,0.25,754.34
IN-2025-10033,2025-07-23,2025-07-27,Same Day,CUST-116,Arjun Nair,Home Office,New Delhi,North,Furniture,Tables,8628.37,8,0.0,2048.29
IN-2025-10034,2025-04-18,2025-04-19,Same Day,CUST-109,Pari Nair,Home Office,Jaipur,Central,Furniture,Furnishings,18083.9,7,0.2,2997.99
IN-2025-10035,2025-03-15,2025-03-19,Same Day,CUST-117,Ayaan Mehta,Home Office,Pune,Central,Furniture,Tables,11197.76,5,0.05,-299.6
IN-2025-10036,2025-06-09,2025-06-12,Standard Class,CUST-109,Arjun Gupta,Corporate,Bengaluru,South,Technology,Printers,33531.96,7,0.0,8208.64
IN-2025-10037,2025-07-07,2025-07-11,Standard Class,CUST-137,Ananya Joshi,Consumer,Chennai,East,Furniture,Furnishings,17189.6,4,0.15,2928.94
IN-2025-10038,2025-05-08,2025-05-12,Same Day,CUST-102,Ananya Kumar,Home Office,Kolkata,South,Furniture,Tables,27506.48,7,0.2,3032.23
IN-2025-10039,2025-11-19,2025-11-20,Standard Class,CUST-128,Arjun Mehta,Corporate,Bengaluru,North,Furniture,Furnishings,11454.0,6,0.15,989.74
IN-2025-10040,2025-07-09,2025-07-12,Standard Class,CUST-131,Aarav Iyer,Home Office,New Delhi,East,Technology,Laptops,56701.99,1,0.05,15304.07
IN-2025-10041,2025-01-07,2025-01-12,Second Class,CUST-116,Arjun Joshi,Home Office,Mumbai,Central,Technology,Printers,43170.04,3,0.2,12795.02
IN-2025-10042,2025-12-20,2025-12-21,Second Class,CUST-120,Vihaan Reddy,Consumer,Pune,Central,Office Supplies,Art,1683.15,2,0.2,637.5
IN-2025-10043,2025-11-23,2025-11-25,Standard Class,CUST-120,Meera Chauhan,Consumer,Lucknow,North,Furniture,Furnishings,24168.68,6,0.0,-708.46
IN-2025-10044,2025-07-28,2025-07-32,Standard Class,CUST-128,Saanvi Nair,Corporate,Bengaluru,West,Technology,Monitors,61695.69,8,0.15,11235.95
IN-2025-10045,2025-12-14,2025-12-19,First Class,CUST-121,Ayaan Mehta,Consumer,Pune,West,Technology,Printers,44889.48,6,0.0,12285.5
IN-2025-10046,2025-06-16,2025-06-18,Same Day,CUST-114,Saanvi Chauhan,Corporate,Chennai,East,Office Supplies,Envelopes,4424.52,4,0.0,1499.68
IN-2025-10047,2025-12-08,2025-12-12,Same Day,CUST-136,Ayaan Iyer,Corporate,Ahmedabad,West,Technology,Laptops,23036.84,4,0.1,4907.13
IN-2025-10048,2025-10-22,2025-10-25,Same Day,CUST-136,Sneha Kumar,Corporate,Jaipur,East,Furniture,Furnishings,8752.0,2,0.25,222.49
IN-2025-10049,2025-06-07,2025-06-08,Second Class,CUST-113,Reyansh Iyer,Corporate,Pune,Central,Office Supplies,Fasteners,1402.55,4,0.1,315.76
IN-2025-10050,2025-06-08,2025-06-10,First Class,CUST-101,Pooja Patel,Corporate,New Delhi,North,Office Supplies,Paper,3547.6,8,0.0,821.52
IN-2025-10051,2025-01-28,2025-01-33,First Class,CUST-131,Kavya Joshi,Corporate,Bengaluru,North,Furniture,Furnishings,6650.79,8,0.0,-202.16
IN-2025-10052,2025-11-19,2025-11-20,Second Class,CUST-110,Riya Singh,Consumer,Hyderabad,North,Office Supplies,Art,2488.26,4,0.2,989.54
IN-2025-10053,2025-08-13,2025-08-17,First Class,CUST-138,Aadhya Singh,Home Office,Lucknow,North,Office Supplies,Envelopes,608.69,4,0.1,237.81
IN-2025-10054,2025-02-22,2025-02-24,Second Class,CUST-112,Pooja Verma,Consumer,New Delhi,West,Furniture,Furnishings,9240.22,5,0.25,179.66
IN-2025-10055,2025-08-28,2025-08-29,Second Class,CUST-117,Riya Nair,Consumer,Kolkata,North,Office Supplies,Binders,3308.65,3,0.0,1413.13
IN-2025-10056,2025-03-02,2025-03-05,First Class,CUST-129,Vihaan Joshi,Home Office,Pune,West,Furniture,Furnishings,12756.21,7,0.25,1650.79
IN-2025-10057,2025-10-11,2025-10-14,Standard Class,CUST-106,Ayaan Nair,Home Office,Lucknow,North,Office Supplies,Paper,2521.09,3,0.15,985.18
IN-2025-10058,2025-11-17,2025-11-21,First Class,CUST-112,Riya Mishra,Home Office,Ahmedabad,North,Furniture,Bookcases,15263.78,2,0.05,706.98
IN-2025-10059,2025-07-11,2025-07-15,First Class,CUST-126,Pooja Sharma,Corporate,Mumbai,East,Furniture,Bookcases,5032.12,1,0.25,914.66
IN-2025-10060,2025-09-28,2025-09-32,Same Day,CUST-104,Reyansh Yadav,Corporate,Lucknow,West,Office Supplies,Art,3463.15,3,0.1,868.87
IN-2025-10061,2025-12-15,2025-12-19,Standard Class,CUST-102,Meera Chauhan,Consumer,Bengaluru,East,Office Supplies,Storage,2423.19,2,0.15,541.1
IN-2025-10062,2025-11-04,2025-11-06,Same Day,CUST-119,Sneha Iyer,Corporate,Kolkata,West,Furniture,Tables,14093.74,4,0.2,-93.12
IN-2025-10063,2025-12-17,2025-12-19,Standard Class,CUST-118,Aadhya Kumar,Home Office,Pune,North,Furniture,Bookcases,28309.27,8,0.05,3509.7
IN-2025-10064,2025-09-15,2025-09-19,First Class,CUST-122,Pooja Chauhan,Home Office,Kolkata,West,Furniture,Tables,32665.55,7,0.05,706.94
IN-2025-10065,2025-07-28,2025-07-29,First Class,CUST-131,Ananya Mishra,Home Office,Bengaluru,West,Technology,Phones,34136.32,2,0.15,8730.07
IN-2025-10066,2025-09-04,2025-09-08,Standard Class,CUST-110,Aadhya Mehta,Home Office,Bengaluru,North,Furniture,Bookcases,12450.56,2,0.1,1964.84
IN-2025-10067,2025-11-28,2025-11-33,Same Day,CUST-121,Kavya Mehta,Home Office,New Delhi,Central,Technology,Phones,36885.95,4,0.25,12239.26
IN-2025-10068,2025-07-03,2025-07-04,Standard Class,CUST-129,Sai Iyer,Corporate,New Delhi,North,Furniture,Chairs,11768.38,3,0.05,734.96
IN-2025-10069,2025-07-17,2025-07-22,Second Class,CUST-111,Sai Verma,Home Office,Kolkata,Central,Office Supplies,Binders,2200.48,4,0.15,760.9
IN-2025-10070,2025-05-21,2025-05-25,First Class,CUST-101,Pari Singh,Home Office,Jaipur,South,Technology,Printers,53374.87,5,0.25,18529.61
IN-2025-10071,2025-12-14,2025-12-17,Same Day,CUST-120,Reyansh Mishra,Corporate,Mumbai,South,Furniture,Bookcases,21393.98,5,0.0,5301.59
IN-2025-10072,2025-11-27,2025-11-31,First Class,CUST-101,Riya Mehta,Home Office,New Delhi,Central,Office Supplies,Art,3358.1,4,0.2,1429.66
IN-2025-10073,2025-06-26,2025-06-28,Second Class,CUST-140,Krishna Nair,Home Office,Bengaluru,North,Office Supplies,Envelopes,311.38,1,0.2,123.67
IN-2025-10074,2025-12-12,2025-12-14,Standard Class,CUST-119,Diya Iyer,Corporate,Bengaluru,South,Technology,Monitors,63034.63,5,0.05,12868.35
IN-2025-10075,2025-08-09,2025-08-12,First Class,CUST-108,Pari Verma,Consumer,Hyderabad,West,Office Supplies,Paper,506.76,5,0.2,151.34
IN-2025-10076,2025-08-04,2025-08-07,First Class,CUST-138,Ananya Mehta,Home Office,Chennai,North,Office Supplies,Binders,1970.47,6,0.2,699.29
IN-2025-10077,2025-11-08,2025-11-09,Same Day,CUST-120,Aadhya Verma,Consumer,New Delhi,North,Furniture,Furnishings,5708.48,3,0.15,116.68
IN-2025-10078,2025-06-15,2025-06-20,Same Day,CUST-138,Arjun Mishra,Home Office,Mumbai,West,Office Supplies,Art,4472.08,6,0.05,1207.17
IN-2025-10079,2025-08-15,2025-08-17,First Class,CUST-107,Saanvi Yadav,Home Office,Chennai,North,Furniture,Bookcases,9073.87,8,0.0,-121.16
IN-2025-10080,2025-04-22,2025-04-27,Standard Class,CUST-104,Diya Gupta,Consumer,Lucknow,South,Technology,Monitors,17550.92,4,0.1,2977.84
IN-2025-10081,2025-03-25,2025-03-30,Standard Class,CUST-118,Arjun Patel,Home Office,Pune,South,Technology,Laptops,11380.98,4,0.2,2303.46
IN-2025-10082,2025-01-11,2025-01-13,First Class,CUST-104,Arjun Iyer,Corporate,Jaipur,North,Office Supplies,Storage,2113.08,2,0.15,833.62
IN-2025-10083,2025-04-17,2025-04-22,Standard Class,CUST-134,Ishaan Joshi,Home Office,New Delhi,North,Furniture,Furnishings,16640.76,8,0.0,-293.07
IN-2025-10084,2025-06-03,2025-06-08,Second Class,CUST-105,Arjun Singh,Home Office,Lucknow,Central,Office Supplies,Paper,1724.09,5,0.15,602.31
IN-2025-10085,2025-10-17,2025-10-21,Standard Class,CUST-108,Pooja Iyer,Consumer,Kolkata,West,Technology,Printers,21543.91,7,0.25,4832.4
IN-2025-10086,2025-06-04,2025-06-08,First Class,CUST-117,Saanvi Patel,Home Office,Ahmedabad,North,Technology,Laptops,10949.8,6,0.05,1557.17
IN-2025-10087,2025-01-18,2025-01-23,First Class,CUST-108,Aadhya Kumar,Home Office,Kolkata,North,Furniture,Bookcases,13540.05,4,0.05,1670.51
IN-2025-10088,2025-08-22,2025-08-24,Standard Class,CUST-123,Pooja Kumar,Consumer,Pune,Central,Technology,Printers,51328.69,1,0.2,17664.55
IN-2025-10089,2025-12-22,2025-12-25,Standard Class,CUST-112,Krishna Iyer,Corporate,Chennai,East,Technology,Phones,65890.39,7,0.0,16489.32
IN-2025-10090,2025-12-05,2025-12-06,Standard Class,CUST-134,Reyansh Mishra,Corporate,Ahmedabad,East,Technology,Accessories,26814.62,2,0.0,5218.34
IN-2025-10091,2025-03-05,2025-03-10,Standard Class,CUST-106,Krishna Joshi,Home Office,Kolkata,West,Office Supplies,Art,1969.27,2,0.1,499.98
IN-2025-10092,2025-02-14,2025-02-17,Same Day,CUST-134,Ishaan Sharma,Consumer,Kolkata,Central,Technology,Laptops,17378.66,3,0.1,5863.99
IN-2025-10093,2025-06-10,2025-06-11,Standard Class,CUST-132,Aadhya Patel,Consumer,Kolkata,Central,Office Supplies,Binders,2601.26,6,0.0,1062.19
